"Chap","Prot","DB","evidence","weight"
"HSPA9","STX17","local","coexpression",1
"HSPA9","TRMT61B","local","coexpression",1
"HSPA9","PLGRKT","local","coexpression",1
"HSPA9","SECISBP2","local","coexpression",1
"HSPA9","C2ORF69","local","coexpression",1
"HSPA9","CLIC4","local","coexpression",1
"HSPA9","TRMT11","local","coexpression",1
"HSPD1","CYC1","local","coexpression",1
"HSPD1","SDHB","local","coexpression",1
"HSPD1","COQ7","local","coexpression",1
"HSPD1","SDHA","local","coexpression",1
"HSPD1","COQ5","local","coexpression",1
"HSPD1","PDHA1","local","coexpression",1
"HSPD1","COQ9","local","coexpression",1
