"node1","node2","BRCA","COAD","HNSC","KIRC","KIRP","LIHC","LUAD","LUSC","PRAD","STAD","THCA","UCEC"
"HSPA9","CBR4",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SMDT1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","HAGH",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COX7A1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MTG1",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","COX14",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","NDUFA12",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS16",0,1,0,1,1,0,1,0,0,1,0,1
"HSPA9","MTERF2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ETFRF1",0,0,0,0,0,0,0,0,0,0,1,0
"HSPA9","GPD2",0,0,0,1,0,0,0,0,1,1,0,1
"HSPA9","NDUFA10",0,1,0,1,1,0,0,0,0,1,0,0
"HSPA9","NDUFC2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SLIRP",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MT-ATP6",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MT-CO2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","TIMM21",0,1,1,1,1,0,0,0,0,1,1,1
"HSPA9","NDUFA8",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","GLS",0,0,0,1,1,0,0,0,1,0,0,1
"HSPA9","NDUFB11",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","DHTKD1",0,0,1,1,1,0,0,0,0,0,1,0
"HSPA9","FAHD2A",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","HSD17B8",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","HINT2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","MRPS5",0,1,0,0,0,0,0,0,0,1,0,0
"HSPA9","C6ORF136",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SPRYD4",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","LIPT2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","DECR1",0,1,0,1,1,0,0,0,0,1,0,0
"HSPA9","MRPS26",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","SLC25A15",0,0,1,1,1,0,0,0,1,1,1,1
"HSPA9","NDUFV3",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","BPHL",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","STOML2",0,0,0,1,1,0,0,0,0,1,0,1
"HSPA9","MSRB2",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","LACTB",0,0,0,0,1,0,0,0,1,1,0,1
"HSPA9","TOMM40",0,0,0,0,0,0,0,1,0,1,0,0
"HSPA9","SLC25A25",0,0,0,0,1,0,0,0,0,0,1,0
"HSPA9","ADCK5",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","ACAD10",0,0,0,0,0,0,0,0,0,0,0,0
"HSPA9","VWA8",0,0,0,1,1,0,0,0,0,0,1,0
"HSPA9","CCDC90B",0,0,0,0,0,0,0,0,0,0,0,0
